Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,52.9000015259,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,79.3000030518,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,26,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,33.9000015259,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,47.4000015259,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,20,,
"Egypt, Arab Rep.",EGY,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,,,
"Egypt, Arab Rep.",EGY,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in services, male (% of male employment)",SL.SRV.EMPL.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in services, female (% of female employment)",SL.SRV.EMPL.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,,,
"Egypt, Arab Rep.",EGY,"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Employment in industry (% of total employment),SL.IND.EMPL.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in industry, male (% of male employment)",SL.IND.EMPL.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in industry, female (% of female employment)",SL.IND.EMPL.FE.ZS,,,
"Egypt, Arab Rep.",EGY,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,36556.5390625,,
"Egypt, Arab Rep.",EGY,"Contributing family workers, total (% of total employment)",SL.FAM.WORK.ZS,,,
"Egypt, Arab Rep.",EGY,"Contributing family workers, male (% of male employment)",SL.FAM.WORK.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Contributing family workers, female (% of female employment)",SL.FAM.WORK.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Wage and salaried workers, total (% of total employment)",SL.EMP.WORK.ZS,,,
"Egypt, Arab Rep.",EGY,"Wage and salaried workers, male (% of male employment)",SL.EMP.WORK.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Wage and salaried workers, female (% of female employment)",SL.EMP.WORK.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,,,
"Egypt, Arab Rep.",EGY,"Vulnerable employment, male (% of male employment)",SL.EMP.VULN.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Vulnerable employment, female (% of female employment)",SL.EMP.VULN.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,42.7999992371,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,68.5999984741,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,17.2000007629,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Self-employed, total (% of total employment)",SL.EMP.SELF.ZS,,,
"Egypt, Arab Rep.",EGY,"Self-employed, male (% of male employment)",SL.EMP.SELF.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Self-employed, female (% of female employment)",SL.EMP.SELF.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employers, total (% of total employment)",SL.EMP.MPYR.ZS,,,
"Egypt, Arab Rep.",EGY,"Employers, male (% of male employment)",SL.EMP.MPYR.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Employers, female (% of female employment)",SL.EMP.MPYR.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,19.7000007629,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,31.8999996185,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,7,,
"Egypt, Arab Rep.",EGY,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,,,
"Egypt, Arab Rep.",EGY,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,,,
"Egypt, Arab Rep.",EGY,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",SI.SPR.PCAP,,,
"Egypt, Arab Rep.",EGY,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,,,
"Egypt, Arab Rep.",EGY,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",SI.SPR.PC40,,,
"Egypt, Arab Rep.",EGY,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,
"Egypt, Arab Rep.",EGY,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,4.4583823529,5.4312280702,
"Egypt, Arab Rep.",EGY,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,
"Egypt, Arab Rep.",EGY,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,
"Egypt, Arab Rep.",EGY,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,
"Egypt, Arab Rep.",EGY,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,
"Egypt, Arab Rep.",EGY,Poverty gap at national poverty lines (%),SI.POV.NAGP,,,
"Egypt, Arab Rep.",EGY,GINI index (World Bank estimate),SI.POV.GINI,,,
"Egypt, Arab Rep.",EGY,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,
"Egypt, Arab Rep.",EGY,Poverty gap at $3.10 a day (2011 PPP) (%),SI.POV.GAP2,,,
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population),SI.POV.2DAY,,,
"Egypt, Arab Rep.",EGY,Income share held by lowest 20%,SI.DST.FRST.20,,,
"Egypt, Arab Rep.",EGY,Income share held by lowest 10%,SI.DST.FRST.10,,,
"Egypt, Arab Rep.",EGY,Income share held by highest 10%,SI.DST.10TH.10,,,
"Egypt, Arab Rep.",EGY,Income share held by highest 20%,SI.DST.05TH.20,,,
"Egypt, Arab Rep.",EGY,Income share held by fourth 20%,SI.DST.04TH.20,,,
"Egypt, Arab Rep.",EGY,Income share held by third 20%,SI.DST.03RD.20,,,
"Egypt, Arab Rep.",EGY,Income share held by second 20%,SI.DST.02ND.20,,,
"Egypt, Arab Rep.",EGY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.64211505,,
"Egypt, Arab Rep.",EGY,"Health expenditure, public (% of GDP)",SH.XPD.PUBL.ZS,2.1553845009,,
"Egypt, Arab Rep.",EGY,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,5.58768476,,
"Egypt, Arab Rep.",EGY,"Health expenditure, public (% of total health expenditure)",SH.XPD.PUBL,38.20171127,,
"Egypt, Arab Rep.",EGY,"Health expenditure, private (% of GDP)",SH.XPD.PRIV.ZS,3.4867305491,,
"Egypt, Arab Rep.",EGY,"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,594.11025159,,
"Egypt, Arab Rep.",EGY,Health expenditure per capita (current US$),SH.XPD.PCAP,177.76836063,,
"Egypt, Arab Rep.",EGY,Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,90.07313306,,
"Egypt, Arab Rep.",EGY,Out-of-pocket health expenditure (% of total expenditure on health),SH.XPD.OOPC.TO.ZS,55.66365484,,
"Egypt, Arab Rep.",EGY,External resources for health (% of total expenditure on health),SH.XPD.EXTR.ZS,1.25582851,,
"Egypt, Arab Rep.",EGY,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,86,86,
"Egypt, Arab Rep.",EGY,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,15,15,
"Egypt, Arab Rep.",EGY,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,54,59,
"Egypt, Arab Rep.",EGY,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,84,,
"Egypt, Arab Rep.",EGY,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,4.8000001907,,
"Egypt, Arab Rep.",EGY,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,4.8000001907,,
"Egypt, Arab Rep.",EGY,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,9.5,,
"Egypt, Arab Rep.",EGY,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,9.3999996185,,
"Egypt, Arab Rep.",EGY,"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,,,
"Egypt, Arab Rep.",EGY,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,,,
"Egypt, Arab Rep.",EGY,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,22.2999992371,,
"Egypt, Arab Rep.",EGY,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,23.6000003815,,
"Egypt, Arab Rep.",EGY,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,15.6999998093,,
"Egypt, Arab Rep.",EGY,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,16.3999996185,,
"Egypt, Arab Rep.",EGY,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,28.4,,
"Egypt, Arab Rep.",EGY,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,21.9,,
"Egypt, Arab Rep.",EGY,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0,0,
"Egypt, Arab Rep.",EGY,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,0,0,
"Egypt, Arab Rep.",EGY,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,0,0,
"Egypt, Arab Rep.",EGY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,,,
"Egypt, Arab Rep.",EGY,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,34,33,
"Egypt, Arab Rep.",EGY,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,7,,
"Egypt, Arab Rep.",EGY,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,7.6999998093,,
"Egypt, Arab Rep.",EGY,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,92.3,87.2,
"Egypt, Arab Rep.",EGY,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,16.7,
"Egypt, Arab Rep.",EGY,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,,,
"Egypt, Arab Rep.",EGY,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,91.5,,
"Egypt, Arab Rep.",EGY,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,39.7,,
"Egypt, Arab Rep.",EGY,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,67.7,,
"Egypt, Arab Rep.",EGY,Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,90.3,,
"Egypt, Arab Rep.",EGY,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,96.8,96.8,
"Egypt, Arab Rep.",EGY,"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU,93.1,93.1,
"Egypt, Arab Rep.",EGY,Improved sanitation facilities (% of population with access),SH.STA.ACSN,94.7,94.7,
"Egypt, Arab Rep.",EGY,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,,,
"Egypt, Arab Rep.",EGY,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,37.2,,
"Egypt, Arab Rep.",EGY,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,52.8,,
"Egypt, Arab Rep.",EGY,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,,,
"Egypt, Arab Rep.",EGY,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,,,
"Egypt, Arab Rep.",EGY,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,,,
"Egypt, Arab Rep.",EGY,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.1290793669,0.1229893695,
"Egypt, Arab Rep.",EGY,Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,770,810,
"Egypt, Arab Rep.",EGY,Number of maternal deaths,SH.MMR.DTHS,850,820,
"Egypt, Arab Rep.",EGY,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,,,
"Egypt, Arab Rep.",EGY,Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,,,
"Egypt, Arab Rep.",EGY,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,,,
"Egypt, Arab Rep.",EGY,"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,50.0831705275,,
"Egypt, Arab Rep.",EGY,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,,,
"Egypt, Arab Rep.",EGY,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,,,
"Egypt, Arab Rep.",EGY,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,
"Egypt, Arab Rep.",EGY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,
"Egypt, Arab Rep.",EGY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93,92,
"Egypt, Arab Rep.",EGY,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,94,93,
"Egypt, Arab Rep.",EGY,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,94,93,
"Egypt, Arab Rep.",EGY,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,5,10,
"Egypt, Arab Rep.",EGY,Incidence of HIV (% of uninfected population ages 15-49),SH.HIV.INCD.ZS,0.01,0.01,
"Egypt, Arab Rep.",EGY,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,1500,1500,
"Egypt, Arab Rep.",EGY,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,100,100,
"Egypt, Arab Rep.",EGY,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,1400,1400,
"Egypt, Arab Rep.",EGY,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,16,19,
"Egypt, Arab Rep.",EGY,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,0.1,0.1,
"Egypt, Arab Rep.",EGY,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,0.1,0.1,
"Egypt, Arab Rep.",EGY,Children (0-14) living with HIV,SH.HIV.0014,500,500,
"Egypt, Arab Rep.",EGY,Improved water source (% of population with access),SH.H2O.SAFE.ZS,99.2,99.4,
"Egypt, Arab Rep.",EGY,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,100,100,
"Egypt, Arab Rep.",EGY,"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,98.7,99,
"Egypt, Arab Rep.",EGY,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,80,,
"Egypt, Arab Rep.",EGY,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,13.3,12.8,
"Egypt, Arab Rep.",EGY,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,,,
"Egypt, Arab Rep.",EGY,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,,25.4,
"Egypt, Arab Rep.",EGY,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,,22.5,
"Egypt, Arab Rep.",EGY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,24.8,24,
"Egypt, Arab Rep.",EGY,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,
"Egypt, Arab Rep.",EGY,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,29.4871794872,29.6104822177,
"Egypt, Arab Rep.",EGY,Number of neonatal deaths,SH.DTH.NMRT,36401,35818,
"Egypt, Arab Rep.",EGY,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,
"Egypt, Arab Rep.",EGY,Number of under-five deaths,SH.DTH.MORT,66378,65775,
"Egypt, Arab Rep.",EGY,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,,,
"Egypt, Arab Rep.",EGY,Number of infant deaths,SH.DTH.IMRT,57588,56914,
"Egypt, Arab Rep.",EGY,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,
"Egypt, Arab Rep.",EGY,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,,,
"Egypt, Arab Rep.",EGY,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,,,
"Egypt, Arab Rep.",EGY,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,,,
"Egypt, Arab Rep.",EGY,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,0.3,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,19.9,,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,35.7,,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,24.1,,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,25.5,,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,7,,
"Egypt, Arab Rep.",EGY,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,12.8,,
"Egypt, Arab Rep.",EGY,Proportion of women subjected to physical and/or sexual violence in the last 12 months ( % of women age 15-49),SG.VAW.1549.ZS,,,
"Egypt, Arab Rep.",EGY,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),SG.NOD.CONS,,1,
"Egypt, Arab Rep.",EGY,Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,,0,
"Egypt, Arab Rep.",EGY,Legislation exists on domestic violence (1=yes; 0=no),SG.LEG.DVAW,,0,
"Egypt, Arab Rep.",EGY,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),SG.LAW.NODC.HR,,0,
"Egypt, Arab Rep.",EGY,Law mandates paid or unpaid maternity leave (1=yes; 0=no),SG.LAW.LEVE.PU,,1,
"Egypt, Arab Rep.",EGY,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),SG.LAW.EQRM.WK,,0,
"Egypt, Arab Rep.",EGY,Law prohibits or invalidates child or early marriage (1=yes; 0=no),SG.LAW.CHMR,,1,
"Egypt, Arab Rep.",EGY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),SG.JOB.NOPN.EQ,,0,
"Egypt, Arab Rep.",EGY,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,14.9
"Egypt, Arab Rep.",EGY,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,
"Egypt, Arab Rep.",EGY,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,58.8,,
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,
"Egypt, Arab Rep.",EGY,Expenditure on education as % of total government expenditure (%),SE.XPD.TOTL.GB.ZS,,,
"Egypt, Arab Rep.",EGY,Expenditure on tertiary as % of government expenditure on education (%),SE.XPD.TERT.ZS,,,
